ts,symbol,open,high,low,close,volume
2026-03-02 09:15:00+05:30,NIFTY,22000.0,22007.88,21992.7,21998.89,5216
2026-03-02 09:16:00+05:30,NIFTY,21998.89,22052.28,21998.89,22028.02,32608
2026-03-02 09:17:00+05:30,NIFTY,22028.02,22086.85,22028.02,22058.15,44678
2026-03-02 09:18:00+05:30,NIFTY,22058.15,22058.15,22012.55,22020.86,14916
2026-03-02 09:19:00+05:30,NIFTY,22020.86,22020.86,21995.54,21995.57,15232
2026-03-02 09:20:00+05:30,NIFTY,21995.57,22050.35,21995.57,22044.22,21701
2026-03-02 09:21:00+05:30,NIFTY,22044.22,22044.22,21985.6,22005.05,35322
2026-03-02 09:22:00+05:30,NIFTY,22005.05,22005.05,21992.69,21993.94,22418
2026-03-02 09:23:00+05:30,NIFTY,21993.94,22007.49,21993.94,22003.7,32297
2026-03-02 09:24:00+05:30,NIFTY,22003.7,22003.7,21973.16,21978.95,10283
2026-03-02 09:25:00+05:30,NIFTY,21978.95,21978.95,21930.9,21952.29,27860
2026-03-02 09:26:00+05:30,NIFTY,21952.29,21956.63,21926.37,21940.37,18101
2026-03-02 09:27:00+05:30,NIFTY,21940.37,21942.25,21939.86,21941.68,47849
2026-03-02 09:28:00+05:30,NIFTY,21941.68,21961.46,21941.68,21954.14,5300
2026-03-02 09:29:00+05:30,NIFTY,21954.14,21997.19,21954.14,21983.51,17117
2026-03-02 09:30:00+05:30,NIFTY,21983.51,22012.68,21983.51,21993.54,42997
2026-03-02 09:31:00+05:30,NIFTY,21993.54,21993.54,21973.72,21983.04,21061
2026-03-02 09:32:00+05:30,NIFTY,21983.04,22039.06,21983.04,22020.3,45488
2026-03-02 09:33:00+05:30,NIFTY,22020.3,22038.32,22002.19,22013.07,24329
2026-03-02 09:34:00+05:30,NIFTY,22013.07,22013.07,21975.43,21976.32,42090
2026-03-02 09:35:00+05:30,NIFTY,21976.32,21978.27,21954.16,21972.34,5539
2026-03-02 09:36:00+05:30,NIFTY,21972.34,21972.34,21965.1,21969.61,24866
2026-03-02 09:37:00+05:30,NIFTY,21969.61,22008.91,21969.61,22004.75,22442
2026-03-02 09:38:00+05:30,NIFTY,22004.75,22014.91,21985.32,22008.0,31825
2026-03-02 09:39:00+05:30,NIFTY,22008.0,22008.0,21947.49,21975.62,39620
2026-03-02 09:40:00+05:30,NIFTY,21975.62,21995.73,21952.03,21974.91,15962
2026-03-02 09:41:00+05:30,NIFTY,21974.91,21984.06,21974.91,21980.74,48534
2026-03-02 09:42:00+05:30,NIFTY,21980.74,22035.99,21980.74,22015.66,24626
2026-03-02 09:43:00+05:30,NIFTY,22015.66,22015.66,21997.84,22004.54,26008
2026-03-02 09:44:00+05:30,NIFTY,22004.54,22035.93,22004.54,22027.47,30327
2026-03-02 09:45:00+05:30,NIFTY,22027.47,22070.03,22027.47,22061.59,7890
2026-03-02 09:46:00+05:30,NIFTY,22061.59,22098.87,22061.59,22094.96,20909
2026-03-02 09:47:00+05:30,NIFTY,22094.96,22096.92,22080.07,22081.99,5351
2026-03-02 09:48:00+05:30,NIFTY,22081.99,22099.22,22081.99,22098.89,32447
2026-03-02 09:49:00+05:30,NIFTY,22098.89,22133.06,22098.89,22121.0,23564
2026-03-02 09:50:00+05:30,NIFTY,22121.0,22126.12,22117.78,22123.56,6610
2026-03-02 09:51:00+05:30,NIFTY,22123.56,22123.56,22097.25,22098.37,38338
2026-03-02 09:52:00+05:30,NIFTY,22098.37,22114.71,22086.9,22097.0,46267
2026-03-02 09:53:00+05:30,NIFTY,22097.0,22097.0,22025.65,22057.91,23029
2026-03-02 09:54:00+05:30,NIFTY,22057.91,22057.91,22020.38,22034.82,14445
2026-03-02 09:55:00+05:30,NIFTY,22034.82,22053.94,22034.82,22047.49,28484
2026-03-02 09:56:00+05:30,NIFTY,22047.49,22067.84,22036.98,22049.44,35590
2026-03-02 09:57:00+05:30,NIFTY,22049.44,22101.03,22049.44,22093.56,9360
2026-03-02 09:58:00+05:30,NIFTY,22093.56,22103.82,22089.83,22094.15,45913
2026-03-02 09:59:00+05:30,NIFTY,22094.15,22102.57,22075.24,22095.65,6005
2026-03-02 10:00:00+05:30,NIFTY,22095.65,22109.51,22095.65,22100.42,9493
2026-03-02 10:01:00+05:30,NIFTY,22100.42,22109.35,22100.42,22107.94,39264
2026-03-02 10:02:00+05:30,NIFTY,22107.94,22134.02,22105.38,22119.65,31768
2026-03-02 10:03:00+05:30,NIFTY,22119.65,22119.65,22049.67,22059.13,24715
2026-03-02 10:04:00+05:30,NIFTY,22059.13,22079.51,22059.13,22069.81,31056
2026-03-02 10:05:00+05:30,NIFTY,22069.81,22069.81,22041.52,22051.36,38495
2026-03-02 10:06:00+05:30,NIFTY,22051.36,22067.13,22051.36,22066.25,31566
2026-03-02 10:07:00+05:30,NIFTY,22066.25,22074.33,22066.25,22073.7,28698
2026-03-02 10:08:00+05:30,NIFTY,22073.7,22073.7,22031.61,22033.91,39653
